"group"	"dose"	"area"
"10"	10	1.07
"10"	10	2.5
"10"	10	2.41
"10"	10	3.88
"10"	10	2.05
"9"	3.1	4.55
"9"	3.1	1.7
"9"	3.1	12.81
"9"	3.1	2.86
"9"	3.1	7.86
"8"	1	19.86
"8"	1	21.69
"8"	1	171.44
"8"	1	7.5
"8"	1	124.62
"7"	0.31	1135.44
"7"	0.31	248.34
"7"	0.31	615.73
"7"	0.31	967.71
"7"	0.3	1007.43
"6"	0.08	2238.44
"6"	0.08	1815.62
"6"	0.08	1967.02
"6"	0.08	2486.96
"6"	0.08	817.78
"5"	0.025	1119.15
"5"	0.025	971.82
"5"	0.025	894.91
"5"	0.025	1731.4
"5"	0.025	2695.18
"4"	0.008	1654.18
"4"	0.008	1839.95
"4"	0.008	2212.15
"4"	0.008	1101.57
"4"	0.008	1020.38
"3"	0.0025	2109.94
"3"	0.0025	2242.37
"3"	0.0025	1495.46
"3"	0.0025	2187.74
"2"	8e-04	2624.75
"2"	8e-04	1006.41
"2"	8e-04	1664.04
"2"	8e-04	730.17
