Common_name,Species_name,Infraclass,Order,N.O,Bs,Bcal,Height,Width,Mass,ECV,ModelVolume,AvgBodyMass
Pygmy_glider,Acrobates_pygmaeus,Marsupiala,Diprotodontia,15.04,3.94,7.01,6.61,11.29,0.59,0.38,0.4,0.012
Rufous_kangaroo_rat,Aepyprymnus_rufescens,Marsupiala,Diprotodontia,52.4,13.78,22.68,25.68,30.94,19.08,12.36,11.78,2.488
Howler_monkey,Alouata_sp.,Placental,Primates,75.87,18.51,36.9,39.45,52.79,87.51,56.7,47.95,7
Scaley-tailed_squirrel,Anomolurus_beecrofti_argenteus,Placental,Rodentia,41.73,9.81,18.15,16.79,25.7,8.76,5.68,5.26,0.8
Lord_derbys_flying_squirrel,Anomolurus_fraseri,Placental,Rodentia,39.71,8.83,13.15,17.13,26.87,9.14,5.92,5.68,0.8
Yellow-footed_antechinus,Antechinus_flavipes,Marsupiala,Dasyuromorphia,18.9,4.51,9.15,7.61,12.62,0.79,0.51,0.59,0.056
Brown_antechinus,Antechinus_stuartii,Marsupiala,Dasyuromorphia,15.1,2.37,5.92,7.06,11.69,0.71,0.46,0.45,0.056
Pronghorn,Antilocapra_americana_ord,Placental,Artiodactyla,123.7,29.91,54.74,63.93,73.89,232.33,150.53,156.54,53
Mountain_beaver,Aplodontia_rufa,Placental,Rodentia,46.75,11.39,18.62,18.45,28.7,10.05,6.51,7.16,0.805
Antarctic_fur_seal,Arctocephalus_gazella,Placental,Carnivorans,154.32,30.98,75.51,71.95,103.77,438.38,284.03,323.62,91.75
Babiroussa,Babyrousa_babyrussa,Placental,Artiodactyla,133.39,27.81,47.87,72.6,59.75,198.31,128.49,130.78,70
Burrowing_bettong,Bettongia_lesueur,Marsupiala,Diprotodontia,49.43,16.25,25.19,24.27,29.61,14.65,9.49,10.18,1.35
Pale_throated_sloth,Bradypus_tridactyla,Placental,Pilosa,61.51,12.54,26.52,27.05,32.76,25.35,16.43,14.29,4.225
Common_marmoset,Callithrix_jacchus,Placental,Primates,36.65,7.47,13.81,19.64,23.94,9.59,6.22,5.33,0.34
Plantain_squirrel,Callosciurus_vittatus,Placental,Rodentia,37.96,7.49,15.52,16.72,22.94,7.27,4.71,4.26,0.6
Bare_tailed_wooly_opossum,Caluromys_philander_trinitatis,Marsupiala,Didelphimorphia,30.1,8.49,15.05,12.75,18.69,3.4,2.2,2.16,0.35
Dromedary_camel,Camelus_dromedarius,Placental,Artiodactyla,227.53,56.82,107.29,100.03,96.85,845.48,547.78,460.48,495
Golden_jackal,Canis_aureus,Placental,Carnivorans,87.04,20.94,41.36,45.46,52.86,102.48,66.4,58.11,11
Coyote,Canis_latrans,Placental,Carnivorans,98.73,23.84,47.27,53.36,59.43,141.45,91.65,85.86,13.25
Wolf,Canis_lupus,Placental,Carnivorans,121.53,24.04,59.11,61.13,73.22,208.99,135.4,146.45,38.5
Wild_goat,Capra_aegagrus,Placental,Artiodactyla,120.81,34.03,53.17,62.67,68.38,233.11,151.03,134.7,60
Roe_deer,Capreolus_caprea_gray,Placental,Artiodactyla,102.14,19.93,39.28,50.41,59.34,146.35,94.82,81.54,32.5
Hutia,Capromys_pilorides,Placental,Rodentia,51.14,10.67,21.94,18.46,21.72,9.75,6.31,4.74,5.65
American_beaver,Castor_canadensis,Placental,Rodentia,83.34,21.63,39.75,33.6,40.79,58.46,37.88,27.77,18.5
Guinea_pig,Cavia_cutleri,Placental,Rodentia,42.17,7.46,15.74,16.2,23.14,6.06,3.93,4.31,1
Capuchin,Cebus_sp.,Placental,Primates,73.58,7.81,21.47,42.11,52.9,104.89,67.96,51.03,3.85
Common_duiker,Cephalophus_grimmia,Placental,Artiodactyla,98.54,22.56,41.2,49.03,59.24,127.24,82.44,78.12,18.5
Guenon,Cercopithecus_cephus,Placental,Primates,74.43,11.2,23.44,44.83,57.25,111.43,72.19,61.94,5
Mona_monkey,Cercopithecus_mona,Placental,Primates,70.37,8.55,18.67,44.03,54.11,101.81,65.96,54.67,0.325
Chinchilla,Chinchilla_lanigera,Placental,Rodentia,39.62,6.32,11.35,17.39,23.9,6.77,4.39,4.79,0.65
Pink_fairy_armadillo,Chlamyphorus_truncatus,Placental,Cingulata,26.37,5.01,8.79,13.25,22.97,3.55,2.3,3,0.085
Two_toed_tree_sloth,Choloepus_didactylus,Placental,Pilosa,93.63,18.45,35.83,43.75,49.1,54.17,35.1,50.8,6.25
African_civet_cat,Civettictis_civetta,Placental,Carnivorans,93.24,18.43,38.55,36.58,41.11,56.57,36.65,31.78,13.5
European_hamster,Cricetus_cricetus,Placental,Rodentia,30.63,6.72,15.3,13.42,17.31,2.58,1.67,2.03,0.51
Hooded_seal,Cristophora_cristata,Placental,Carnivorans,126.62,36.94,69.89,81.1,117.09,580.95,376.4,418.1,261.25
Olivers_shrew,Crocidura_olivieri,Placental,Eulipotyphla,11.69,2.7,4.57,5.47,9.82,0.33,0.22,0.24,0.051
Spotted_hyaena,Crocuta_crocuta,Placental,Carnivorans,159.07,31.25,69.75,80.42,82.94,253.46,164.22,257.63,63
Tuco-tuco,Ctenomys_opimus_luteblus,Placental,Rodentia,28.23,7.98,14.44,13.22,17.47,3.66,2.37,1.98,0.4
Paca,Cuniculus_paca,Placental,Rodentia,97.54,14.51,34,34.43,50.66,50.56,32.76,42.06,9
